,Unnamed: 0.1,Unnamed: 0,locality,proprety_type,price,bedrooms,area,equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_plot,facades,state,swimming_pool,locality_code,price_square_meters
0,0,0,6061 Montignies-sur-Sambre,House,35000,3.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,201.43684820393972,2.0, To restore,0.0,6061,173.75172572480443
1,1,1,6183 Trazegnies,House,35000,2.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,201.43684820393972,2.0,Good,0.0,6183,173.75172572480443
2,2,2,6020 Dampremy,House,35000,2.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,201.43684820393972,2.0, To renovate,0.0,6020,173.75172572480443
3,3,3,6592 Monceau-Imbrechies,House,35000,3.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,201.43684820393972,2.0,Good,0.0,6592,173.75172572480443
4,4,4,7390 Quaregnon,House,35000,2.0,94.0,Installed,0.0,0.0,0.0,,0.0,,94.0,44.0,2.0, To renovate,0.0,7390,372.3404255319149
5,5,5,5575 Willerzie,House,35000,5.0,300.0,Installed,0.0,0.0,0.0,,0.0,,300.0,300.0,2.0, To restore,0.0,5575,116.66666666666667
6,6,6,5620 Saint-Aubin,House,35000,2.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,493.0,2.0,Good,0.0,5620,173.75172572480443
7,7,7,6224 Wanferce-Baulet,House,35000,2.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,160.0,2.0, To renovate,0.0,6224,173.75172572480443
8,8,8,7012 Jemappes,House,35000,2.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,201.43684820393972,2.0,Good,0.0,7012,173.75172572480443
9,9,9,7860 Lessines,House,37500,3.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,201.43684820393972,2.0,Good,0.0,7860,186.16256327657618
10,10,10,5580 Jemelle,House,39000,2.0,120.0,Not installed,0.0,0.0,0.0,,1.0,10.0,120.0,99.0,2.0, Good,0.0,5580,325.0
11,11,11,8400 Oostende,EauPex,39000,2.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,201.43684820393972,2.0,Good,0.0,8400,193.60906580763924
12,12,12,6061 Montignies-sur-Sambre,Town-house,39000,2.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,310.0,2.0, As new,0.0,6061,193.60906580763924
13,13,13,3920 Lommel,House,39000,2.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,201.43684820393972,2.0,Good,0.0,3920,193.60906580763924
14,14,14,8200 Sint-Andries,House,39400,2.0,15.0,Installed,0.0,0.0,0.0,,0.0,,15.0,15.0,2.0, Good,0.0,8200,2626.6666666666665
15,15,15,3920 Lommel,House,39500,2.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,201.43684820393972,2.0,Good,0.0,3920,196.09123331799358
16,16,16,7100 HAINE-SAINT-PIERRE,House,39999,2.0,62.0,Not installed,0.0,0.0,1.0,7.0,1.0,56.0,62.0,95.0,2.0, To renovate,0.0,7100,645.1451612903226
17,17,17,5580 Rochefort Han-sur-Lesse,Studio,40000,2.0,18.0,Semi equipped,0.0,0.0,0.0,,0.0,,18.0,18.0,2.0, To renovate,0.0,5580,2222.222222222222
18,18,18,4100 Seraing,House,40000,2.0,76.0,Installed,0.0,0.0,0.0,,0.0,,76.0,114.0,2.0, To renovate,0.0,4100,526.3157894736842
19,19,19,7012 Jemappes,House,40000,2.0,94.0,Installed,0.0,0.0,0.0,,0.0,,94.0,150.0,2.0, To renovate,0.0,7012,425.531914893617
20,20,20,8930 Menen,House,40000,2.0,49.0,Installed,0.0,0.0,0.0,,0.0,,49.0,49.0,2.0, To be done up,0.0,8930,816.3265306122449
21,21,21,5550 Membre,Studio,40000,1.0,36.0,Installed,0.0,0.0,0.0,,0.0,,36.0,36.0,2.0,Good,0.0,5550,1111.111111111111
22,22,22,4480 Engis,Apartment,40000,2.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,201.43684820393972,2.0,Good,0.0,4480,198.57340082834793
23,23,23,7170 Manage,House,40000,3.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,620.0,2.0, To renovate,0.0,7170,198.57340082834793
24,24,24,7390 Quaregnon,House,40000,2.0,60.0,Installed,0.0,0.0,0.0,,0.0,,60.0,60.0,3.0, To renovate,0.0,7390,666.6666666666666
25,25,25,6567 Merbes-le-Chteau,House,40000,4.0,173.0,Installed,0.0,0.0,0.0,,0.0,,173.0,370.0,2.0,Good,0.0,6567,231.21387283236993
26,26,26,7160 Chapelle-lez-Herlaimont,House,40000,2.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,201.43684820393972,2.0,Good,0.0,7160,198.57340082834793
27,27,27,7390 Quaregnon,House,40000,2.0,201.43684820393972,Not installed,0.0,0.0,0.0,,0.0,,201.43684820393972,201.43684820393972,2.0,Good,0.0,7390,198.57340082834793
28,28,28,7350 Hensies,House,40000,1.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,162.0,3.0,Good,0.0,7350,198.57340082834793
29,29,29,5660 Brly,House,40000,2.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,930.0,2.0,Good,0.0,5660,198.57340082834793
30,30,30,6041 Gosselies,House,40000,2.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,201.43684820393972,2.0,Good,0.0,6041,198.57340082834793
31,31,31,7131 Waudrez,House,40000,2.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,442.0,2.0,Good,0.0,7131,198.57340082834793
32,32,32,7380 Quivrain,House,40000,4.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,467.0,2.0,Good,0.0,7380,198.57340082834793
33,33,33,6250 ROSELIES,Villa,40000,3.0,132.0,Installed,0.0,0.0,0.0,,0.0,,132.0,950.0,4.0, Good,0.0,6250,303.030303030303
34,34,34,3690 Zutendaal,Chalet,40000,1.0,56.0,Installed,0.0,0.0,0.0,,0.0,,56.0,1879.0,2.0, Good,0.0,3690,714.2857142857143
35,35,35,6200 Chtelet,House,40000,3.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,240.0,2.0, To renovate,0.0,6200,198.57340082834793
36,36,36,6560 Erquelinnes,House,40000,1.0,82.0,Installed,0.0,0.0,0.0,,0.0,,82.0,232.0,2.0,Good,0.0,6560,487.8048780487805
37,37,37,9600 Ronse,House,42500,2.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,110.0,2.0,Good,0.0,9600,210.98423838011968
38,38,38,7011 Ghlin,Ghlin,43000,2.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,201.43684820393972,2.0,Good,0.0,7011,213.46640589047402
39,39,39,7012 Flnu,House,43000,2.0,70.0,Not installed,0.0,0.0,0.0,,0.0,,70.0,50.0,3.0, To renovate,0.0,7012,614.2857142857143
40,40,40,5540 Hastiere,Chalet,44900,1.0,25.0,Installed,0.0,0.0,0.0,,1.0,225.0,25.0,250.0,4.0, Just renovated,0.0,5540,1796.0
41,41,41,6040 Jumet,House,45000,2.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,250.0,3.0, To renovate,0.0,6040,223.39507593189143
42,42,42,5600 MERLEMONT,Other properties,45000,2.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,831.0,2.0,Good,0.0,5600,223.39507593189143
43,43,43,5600 MERLEMONT,Other properties,45000,2.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,890.0,2.0,Good,0.0,5600,223.39507593189143
44,44,44,7380 Quivrain,House,45000,2.0,100.0,Installed,0.0,0.0,0.0,,0.0,,100.0,80.0,2.0,Good,0.0,7380,450.0
45,45,45,6001 Marcinelle,Apartment,45000,2.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,201.43684820393972,2.0,Good,0.0,6001,223.39507593189143
46,46,46,6040 Jumet,House,45000,2.0,60.0,Installed,0.0,0.0,0.0,,0.0,,60.0,332.0,2.0,Good,0.0,6040,750.0
47,47,47,6040 Jumet,House,45000,1.0,70.0,Installed,0.0,0.0,0.0,,0.0,,70.0,70.0,2.0,Good,0.0,6040,642.8571428571429
48,48,48,7190 Ecaussinnes,Transversale,45000,2.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,201.43684820393972,2.0,Good,0.0,7190,223.39507593189143
49,49,49,5575 Willerzie,House,45000,2.0,150.0,Installed,0.0,0.0,0.0,,0.0,,150.0,250.0,2.0, To renovate,0.0,5575,300.0
50,50,50,6030 Marchienne-au-Pont,House,45000,3.0,100.0,Not installed,0.0,0.0,0.0,,0.0,,100.0,340.0,2.0,Good,0.0,6030,450.0
51,51,51,5650 Yves-Gomeze,House,45000,1.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,1101.0,3.0, To restore,0.0,5650,223.39507593189143
52,52,52,6044 Roux,House,45000,4.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,184.0,3.0, To be done up,0.0,6044,223.39507593189143
53,53,53,6500 Beaumont,House,45000,2.0,201.43684820393972,Installed,0.0,0.0,0.0,,1.0,270.0,201.43684820393972,310.0,4.0, To restore,0.0,6500,223.39507593189143
54,54,54,7340 WASMES,House,45000,2.0,201.43684820393972,Not installed,0.0,0.0,0.0,,0.0,,201.43684820393972,155.0,2.0,Good,0.0,7340,223.39507593189143
