,locality,proprety_type,price,bedrooms,area,equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_plot,facades,state,swimming_pool
0,6061 Montignies-sur-Sambre,House,35000,3.0,,,,,,,,,,,2.0, To restore,
1,6183 Trazegnies,House,35000,2.0,,,,,,,,,,,2.0,,
2,6020 Dampremy,House,35000,2.0,,,,,,,,,,,, To renovate,
3,6592 Monceau-Imbrechies,House,35000,3.0,,,,,,,,,,,,,
4,7390 Quaregnon,House,35000,2.0,94.0,Installed,,,,,,,94.0,44.0,2.0, To renovate,
5,5575 Willerzie,House,35000,5.0,300.0,,,,,,,,300.0,300.0,2.0, To restore,
6,5620 Saint-Aubin,House,35000,2.0,,,,,,,,,,493.0,,,
7,6224 Wanferce-Baulet,House,35000,2.0,,,,,,,,,,160.0,, To renovate,
8,7012 Jemappes,House,35000,2.0,,,,,,,,,,,2.0,,
9,7860 Lessines,House,37500,3.0,,,,,,,,,,,2.0,,
10,5580 Jemelle,House,39000,2.0,120.0,Not installed,0.0,,,,1.0,10.0,120.0,99.0,2.0, Good,
11,3920 Lommel,House,39000,2.0,,,,,,,,,,,,,
12,8200 Sint-Andries,House,39400,,15.0,,0.0,,,,,,15.0,,, Good,
13,3920 Lommel,House,39500,2.0,,,,,,,,,,,,,
14,7100 HAINE-SAINT-PIERRE,House,39999,2.0,62.0,Not installed,0.0,,1.0,7.0,1.0,56.0,62.0,95.0,2.0, To renovate,
15,4100 Seraing,House,40000,2.0,76.0,,,,,,,,76.0,114.0,2.0, To renovate,
16,7012 Jemappes,House,40000,2.0,94.0,,0.0,,,,,,94.0,150.0,2.0, To renovate,
17,8930 Menen,House,40000,2.0,49.0,,,,,,,,49.0,49.0,2.0, To be done up,
18,7170 Manage,House,40000,3.0,,,,,,,,,,620.0,2.0, To renovate,
19,7390 Quaregnon,House,40000,2.0,60.0,,0.0,,,,,,60.0,,3.0, To renovate,
20,6567 Merbes-le-Chteau,House,40000,4.0,173.0,,,,,,,,173.0,370.0,2.0,,
21,7160 Chapelle-lez-Herlaimont,House,40000,2.0,,,,,,,,,,,2.0,,
22,7390 Quaregnon,House,40000,2.0,,Not installed,,,,,,,,,2.0,,
23,7350 Hensies,House,40000,1.0,,,0.0,,,,,,,162.0,3.0,,
